codgeo;libgeo;an;med_disp
01235;Marlieux;2020;23000
01236;Marsonnas;2020;22620
01237;Martignat;2020;22910
01238;Massieux;2020;27610
01239;Massignieu-de-Rives;2020;24160
01240;Matafelon-Granges;2020;24440
01241;Meillonnas;2020;24700
01242;Mérignat;2020;18460
01243;Messimy-sur-Saône;2020;26300
01244;Meximieux;2020;23970
01245;Bohas-Meyriat-Rignat;2020;24350
01246;Mézériat;2020;23060
01247;Mijoux;2020;31340
01248;Mionnay;2020;28350
01249;Miribel;2020;25630
01250;Misérieux;2020;26020
01252;Mogneneins;2020;25040
01254;Montagnat;2020;26820
01255;Montagnieu;2020;21790
01257;Montanges;2020;28690
01258;Montceaux;2020;26250
01259;Montcet;2020;24430
01260;Le Montellier;2020;26460
01261;Monthieux;2020;27470
01262;Montluel;2020;22820
01263;Montmerle-sur-Saône;2020;24910
01264;Montracol;2020;23630
01265;Montréal-la-Cluse;2020;20160
01266;Montrevel-en-Bresse;2020;22060
01267;Nurieux-Volognat;2020;24440
01268;Murs-et-Gélignieux;2020;23840
01269;Nantua;2020;17640
01272;Neuville-les-Dames;2020;22700
01273;Neuville-sur-Ain;2020;22380
01274;Les Neyrolles;2020;20530
01275;Neyron;2020;30020
01276;Niévroz;2020;26630
01277;Nivollet-Montgriffon;2020;23280
01279;Oncieu;2020;
01280;Ordonnaz;2020;23640
01281;Ornex;2020;35900
01282;Outriaz;2020;24460
01283;Oyonnax;2020;17830
01284;Ozan;2020;22460
01285;Parcieux;2020;27830
01286;Parves et Nattages;2020;26330
01288;Péron;2020;39070
01289;Péronnas;2020;23570
01290;Pérouges;2020;27110
01291;Perrex;2020;23660
01293;Peyriat;2020;25900
01294;Peyrieu;2020;22830
01295;Peyzieux-sur-Saône;2020;24010
01296;Pirajoux;2020;23950
01297;Pizay;2020;27300
01298;Plagne;2020;30150
01299;Le Plantay;2020;25120
01301;Polliat;2020;24380
01302;Pollieu;2020;25610
01303;Poncin;2020;21710
01304;Pont-d'Ain;2020;22190
01305;Pont-de-Vaux;2020;20060
01306;Pont-de-Veyle;2020;21100
01307;Port;2020;22090
01308;Pougny;2020;39040
01309;Pouillat;2020;
01310;Prémeyzel;2020;23710
01311;Prémillieu;2020;
01313;Prévessin-Moëns;2020;40680
01314;Priay;2020;23900
01317;Ramasse;2020;22800
01318;Rancé;2020;27450
01319;Relevant;2020;25040
01320;Replonges;2020;24130
01321;Revonnas;2020;26570
01322;Reyrieux;2020;27960
01323;Reyssouze;2020;22680
01325;Rignieux-le-Franc;2020;25830
01328;Romans;2020;24360
